title,bathrooms,bedrooms,price,square_meters,cityname,state,latitude,longitude,source,luxury
One BR Falcon Wood Dr,1.0,1.0,625,18.6,Marietta,GA,33.9649,-84.5107,RentLingo,1
One BR Branthurst Dr,1.0,1.0,600,18.6,Charlotte,NC,35.2016,-80.8124,RentLingo,0
One BR 501 Chapel Drive,1.0,1.0,544,18.6,Tallahassee,FL,30.4601,-84.2714,RentLingo,1
One BR Union Hills,1.0,1.0,450,18.6,Phoenix,AZ,33.5178,-112.0848,RentLingo,1
One BR Herons Path Pl,1.0,1.0,750,19.995,Riverview,FL,27.8492,-82.3155,RentLingo,0
One BR S. Pond Court,1.0,1.0,2000,20.367,Lafayette,AL,32.8956,-85.4351,RentLingo,0
One BR Arballo Dr 12d,1.0,1.0,1400,20.367,San Francisco,CA,37.7599,-122.4379,RentLingo,0
One BR Elias Way,1.0,1.0,1095,20.367,Glen Burnie,MD,39.1634,-76.6165,RentLingo,0
One BR W. Ken Caryl Place #d,1.0,1.0,915,20.367,Littleton,CO,39.5816,-105.0387,RentLingo,1
One BR Skipjack Ct,1.0,1.0,900,20.367,Waldorf,MD,38.621,-76.9225,RentLingo,1
One BR Windmill Cove Dr,1.0,1.0,865,20.367,Riverview,FL,27.8492,-82.3155,RentLingo,1
One BR East Bates Circle,1.0,1.0,725,20.367,Aurora,CO,39.6828,-104.8078,RentLingo,0
One BR Ginger Ct,1.0,1.0,650,20.367,Manassas,VA,38.7418,-77.4684,RentLingo,0
One BR Line St,1.0,1.0,650,20.367,Decatur,GA,33.7416,-84.2614,RentLingo,0
One BR W Fern St,1.0,1.0,645,20.367,Tampa,FL,28.0076,-82.4792,RentLingo,0
One BR Freeway Place Northeast,1.0,1.0,595,20.367,Albuquerque,NM,35.1038,-106.611,RentLingo,0
Studio apartment 6921 Roosevelt Way NE,1.0,0.0,1195,20.739,Seattle,WA,47.616,-122.3275,RentLingo,0
Studio apartment 714 N. 95th St.,1.0,0.0,1150,20.925,Seattle,WA,47.616,-122.3275,RentLingo,0
Studio apartment 420 W. Fullerton Pkwy,1.0,1.0,942,20.925,Chicago,IL,41.8625,-87.6825,RentLingo,0
Studio apartment 2037 Yale Ave E,1.0,0.0,1250,21.204,Seattle,WA,47.616,-122.3275,RentLingo,0
One BR South Chester Street,1.0,1.0,800,21.39,Gastonia,NC,35.224,-81.1809,RentLingo,0
One BR Flowing Oar Road,1.0,1.0,685,21.39,Wimauma,FL,27.7011,-82.3178,RentLingo,0
Studio apartment 23 S Pauline Place,1.0,1.0,525,21.39,Memphis,TN,35.1211,-89.9517,RentLingo,0
Studio apartment 1008 North 109th Street,1.0,0.0,1095,21.483,Seattle,WA,47.616,-122.3275,RentLingo,0
Studio apartment 925 Geary Street,1.0,0.0,1695,21.576,San Francisco,CA,37.7599,-122.4379,RentLingo,0
"Studio apartment 13th Street NW, Monroe St NW, Washington DC",1.0,0.0,990,22.227,Washington,DC,38.9118,-77.0132,RentLingo,0
Studio apartment 202 E. HOLLY STREET,1.0,1.0,775,22.32,Bellingham,WA,48.7871,-122.4437,RentLingo,0
Studio apartment 838 NE 66th St,1.0,0.0,1299,22.599,Seattle,WA,47.616,-122.3275,RentLingo,0
Studio apartment 3321 Eureka St,1.0,1.0,705,22.785,Anchorage,AK,61.1723,-149.8414,RentLingo,0
One BR Loma Vista Terrace,1.0,1.0,1800,23.25,Pacifica,CA,37.6019,-122.4863,RentLingo,0
One BR Via Marina,1.0,1.0,1600,23.25,Marina Del Rey,CA,33.9855,-118.4532,RentLingo,1
One BR 22nd Avenue,1.0,1.0,1500,23.25,San Francisco,CA,37.7599,-122.4379,RentLingo,0
One BR Acama Street,1.0,1.0,1330,23.25,Studio City,CA,34.145,-118.3898,RentLingo,0
One BR Granadilla Drive,1.0,1.0,1310,23.25,Moorpark,CA,34.2805,-118.8861,RentLingo,0
One BR Spencer Street #404,1.0,1.0,1300,23.25,Torrance,CA,33.8363,-118.333,RentLingo,1
One BR Willow Wind Ct,1.0,1.0,1295,23.25,Sacramento,CA,38.5587,-121.432,RentLingo,0
One BR Balboa Blvd # 106,1.0,1.0,1255,23.25,Lake Balboa,CA,34.2017,-118.492,RentLingo,1
"One BR Greenwood Ave N, Apartment 11",1.0,1.0,1250,23.25,Seattle,WA,47.616,-122.3275,RentLingo,0
One BR Cahuenga Blvd,1.0,1.0,1250,23.25,North Hollywood,CA,34.1881,-118.3905,RentLingo,0
One BR N Lafayette St,1.0,1.0,1200,23.25,Denver,CO,39.736,-104.9819,RentLingo,0
One BR S Ensenada St.,1.0,1.0,1200,23.25,Aurora,CO,39.6828,-104.8078,RentLingo,0
One BR Moreau Way,1.0,1.0,1175,23.25,Brentwood,CA,37.9353,-121.6935,RentLingo,0
One BR 2nd Street,1.0,1.0,1155,23.25,San Rafael,CA,37.9917,-122.5247,RentLingo,0
One BR Morning Light Terrace,1.0,1.0,1150,23.25,North Potomac,MD,39.1088,-77.2384,RentLingo,1
One BR Algonquin Ave,1.0,1.0,1145,23.25,Andover,MA,42.6484,-71.1615,RentLingo,1
One BR Holway St,1.0,1.0,1135,23.25,Oakland,CA,37.7904,-122.2151,RentLingo,0
One BR 17th St.,1.0,1.0,1115,23.25,San Pablo,CA,37.9724,-122.3304,RentLingo,0
Studio apartment 1409 W. Diversey Pkwy.,1.0,0.0,1095,23.25,Chicago,IL,41.8625,-87.6825,RentLingo,0
"One BR Wythe Street, B",1.0,1.0,1090,23.25,Alexandria,VA,38.7999,-77.1072,RentLingo,0
"One BR N. Ashland Ave, 2r",1.0,1.0,1075,23.25,Chicago,IL,41.8625,-87.6825,RentLingo,0
One BR Arbor Lane Ct,1.0,1.0,1050,23.25,Thousand Oaks,CA,34.2009,-118.8636,RentLingo,1
One BR S. Sherman Street,1.0,1.0,1050,23.25,Denver,CO,39.736,-104.9819,RentLingo,0
One BR Lighthouse Lane,1.0,1.0,1045,23.25,Burke,VA,38.786,-77.2858,RentLingo,0
One BR 100th Ave Ne,1.0,1.0,1025,23.25,Bellevue,WA,47.5988,-122.1507,RentLingo,0
One BR Trailhead Ct,1.0,1.0,1005,23.25,Wilton,CA,38.3918,-121.2234,RentLingo,0
One BR Canoga Dr,1.0,1.0,1000,23.25,Woodland Hills,CA,34.1677,-118.6141,RentLingo,0
One BR Sw 55 Ter. W,1.0,1.0,1000,23.25,Miami,FL,25.7603,-80.3005,RentLingo,0
One BR Fieldstone Way,1.0,1.0,1000,23.25,Hyattsville,MD,38.9633,-76.9375,RentLingo,0
One BR Tennyson Court,1.0,1.0,1000,23.25,Westminster,CO,39.8644,-105.0454,RentLingo,0
One BR E Alamo Dr.,1.0,1.0,1000,23.25,Aurora,CO,39.6828,-104.8078,RentLingo,0
One BR Poppy Ct. Unit B,1.0,1.0,1000,23.25,Arvada,CO,39.8228,-105.1107,RentLingo,0
One BR Almond Ave,1.0,1.0,1000,23.25,Seal Beach,CA,33.7606,-118.0806,RentLingo,0
"One BR W San Marcos Blvd, 261",1.0,1.0,975,23.25,San Marcos,CA,33.1463,-117.1694,RentLingo,1
One BR Oak Dr,1.0,1.0,965,23.25,Medford Lakes,NJ,39.8587,-74.8101,RentLingo,0
One BR Southampton Dr Apartment L,1.0,1.0,955,23.25,Glen Burnie,MD,39.1634,-76.6165,RentLingo,0
One BR W. Dorado Pl.,1.0,1.0,950,23.25,Littleton,CO,39.5816,-105.0387,RentLingo,0
One BR Fulton St,1.0,1.0,950,23.25,Aurora,CO,39.6828,-104.8078,RentLingo,0
One BR Torino Court,1.0,1.0,930,23.25,Concord,CA,37.9682,-122.0091,RentLingo,0
"One BR , Gateway Circle",1.0,1.0,925,23.25,Lafayette,CO,39.9999,-105.0993,RentLingo,0
One BR 1st Ave,1.0,1.0,925,23.25,Chula Vista,CA,32.6197,-117.0226,RentLingo,0
One BR Jamie Ct,1.0,1.0,925,23.25,Glen Burnie,MD,39.1634,-76.6165,RentLingo,1
One BR Foxhill Cir,1.0,1.0,915,23.25,Highlands Ranch,CO,39.5516,-104.969,RentLingo,0
One BR Yellow Flower Rd,1.0,1.0,900,23.25,Laurel,MD,39.0976,-76.8614,RentLingo,1
One BR Eventide Ct,1.0,1.0,900,23.25,Orlando,FL,28.5163,-81.3644,RentLingo,1
One BR Racquet Lane,1.0,1.0,900,23.25,Boulder,CO,40.0213,-105.2552,RentLingo,0
One BR E Floyd Ave,1.0,1.0,900,23.25,Aurora,CO,39.6828,-104.8078,RentLingo,0
One BR Jasmine Ln.,1.0,1.0,900,23.25,La Puente,CA,34.0291,-117.9457,RentLingo,1
One BR S. Bond St.,1.0,1.0,900,23.25,Anaheim,CA,33.8323,-117.9079,RentLingo,0
One BR Idalia St,1.0,1.0,895,23.25,Commerce City,CO,39.8312,-104.8942,RentLingo,0
One BR West 67th Place,1.0,1.0,895,23.25,Arvada,CO,39.8228,-105.1107,RentLingo,0
One BR North Madison Street,1.0,1.0,875,23.25,Arlington,VA,38.8738,-77.1055,RentLingo,0
One BR Paradise Circle,1.0,1.0,865,23.25,Naples,FL,26.1806,-81.7257,RentLingo,0
One BR Oak St. Sw 3416,1.0,1.0,865,23.25,Atlanta,GA,33.7848,-84.3922,RentLingo,1
One BR Mauna Loa Boulevard,1.0,1.0,860,23.25,Sarasota,FL,27.3181,-82.4987,RentLingo,1
"One BR E. Bates Avenue, #304",1.0,1.0,855,23.25,Aurora,CO,39.6828,-104.8078,RentLingo,0
One BR Duck Hawk Way,1.0,1.0,850,23.25,Lorton,VA,38.69,-77.2065,RentLingo,1
One BR 145 S. Grand St.,1.0,1.0,850,23.25,Fort Lupton,CO,40.0994,-104.8079,RentLingo,0
One BR Gordon Blvd,1.0,1.0,850,23.25,Woodbridge,VA,38.6487,-77.3152,RentLingo,1
One BR 22nd Ave North,1.0,1.0,850,23.25,Nashville,TN,36.137,-86.783,RentLingo,0
One BR Snell Isle Blvd Ne,1.0,1.0,850,23.25,Saint Petersburg,FL,27.7873,-82.6772,RentLingo,0
One BR Se Foster Place,1.0,1.0,850,23.25,Portland,OR,45.5091,-122.6449,RentLingo,0
One BR Sourghum Court,1.0,1.0,825,23.25,Joppa,MD,39.4324,-76.3552,RentLingo,0
One BR Capella Cir Sw,1.0,1.0,805,23.25,Atlanta,GA,33.7848,-84.3922,RentLingo,1
One BR W 11th Ave Cr Broomfield,1.0,1.0,800,23.25,Broomfield,CO,39.9156,-105.0876,RentLingo,0
One BR S Dallas Court,1.0,1.0,800,23.25,Englewood,CO,39.6169,-104.919,RentLingo,1
One BR Muirfield Court,1.0,1.0,800,23.25,Potomac,MD,39.0287,-77.2409,RentLingo,0
One BR Providence Blvd,1.0,1.0,800,23.25,Deltona,FL,28.905,-81.2156,RentLingo,0
One BR E Century Blvd,1.0,1.0,800,23.25,Lodi,CA,38.1255,-121.2878,RentLingo,0
One BR District On Kernan,1.0,1.0,800,23.25,Jacksonville,FL,30.2989,-81.6324,RentLingo,0
One BR Milliken St,1.0,1.0,795,23.25,Parker,CO,39.4904,-104.7265,RentLingo,0
One BR Autumn Place,1.0,1.0,785,23.25,Fountain,CO,38.6968,-104.6969,RentLingo,0
One BR Finch Ct,1.0,1.0,785,23.25,Fort Collins,CO,40.5649,-105.0824,RentLingo,0
One BR Kaitlyn Circle,1.0,1.0,760,23.25,Loveland,CO,40.4067,-105.0984,RentLingo,0
One BR Gold Brook Cir,1.0,1.0,755,23.25,Longwood,FL,28.7026,-81.3885,RentLingo,1
One BR E Samantha Court,1.0,1.0,755,23.25,Bear,DE,39.6103,-75.6896,RentLingo,0
One BR Roslaire Dr,1.0,1.0,755,23.25,Hummelstown,PA,40.2776,-76.7088,RentLingo,0
One BR Totem,1.0,1.0,750,23.25,Riverside,CA,33.945,-117.4074,RentLingo,0
One BR Ne Stanford Lane,1.0,1.0,750,23.25,Port Saint Lucie,FL,27.2897,-80.3421,RentLingo,0
One BR Grey Eagle Court,1.0,1.0,750,23.25,Germantown,MD,39.1774,-77.2569,RentLingo,1
One BR Briarcrest Ct,1.0,1.0,750,23.25,Charlotte,NC,35.2016,-80.8124,RentLingo,0
One BR Todd Preis Dr,1.0,1.0,725,23.25,Nashville,TN,36.137,-86.783,RentLingo,0
One BR Darby's Crossing Court,1.0,1.0,725,23.25,Hiram,GA,33.8691,-84.7686,RentLingo,0
One BR Penelope Way,1.0,1.0,720,23.25,Converse,TX,29.4782,-98.2759,RentLingo,0
"One BR Barwood Bend, #266",1.0,1.0,705,23.25,Houston,TX,29.7714,-95.4343,RentLingo,1
One BR South Tomahawk Road #105,1.0,1.0,700,23.25,Apache Junction,AZ,33.4234,-111.5415,RentLingo,1
One BR Fox Hollow Ct,1.0,1.0,700,23.25,Austin,TX,30.3054,-97.7497,RentLingo,1
One BR Wolff Pl,1.0,1.0,700,23.25,Broomfield,CO,39.9156,-105.0876,RentLingo,0
One BR N 74th Place,1.0,1.0,700,23.25,Scottsdale,AZ,33.5783,-111.8902,RentLingo,1
One BR Naomi Rd,1.0,1.0,700,23.25,Orlando,FL,28.5163,-81.3644,RentLingo,0
One BR Marnat Road Apartment C,1.0,1.0,700,23.25,Baltimore,MD,39.3191,-76.6126,RentLingo,1
One BR E Easter Ave.,1.0,1.0,700,23.25,Centennial,CO,39.6041,-104.8594,RentLingo,0
One BR W Eastman Pl Unit 206,1.0,1.0,700,23.25,Lakewood,CO,39.6894,-105.1119,RentLingo,0
One BR Fergus Unit B,1.0,1.0,700,23.25,Kyle,TX,30.0066,-97.8071,RentLingo,0
Studio apartment 4117 University Ave,1.0,0.0,695,23.25,Cedar Falls,IA,42.5286,-92.4509,RentLingo,0
One BR W 62nd Pl,1.0,1.0,695,23.25,Summit,IL,41.7834,-87.8099,RentLingo,0
One BR Long Ridge Dr,1.0,1.0,685,23.25,Columbia,SC,34.0505,-81.0098,RentLingo,0
One BR Royal Palm Rd,1.0,1.0,685,23.25,Phoenix,AZ,33.5178,-112.0848,RentLingo,1
One BR Brownie Campbell Rd.,1.0,1.0,675,23.25,Houston,TX,29.7714,-95.4343,RentLingo,0
One BR Direct River Drive Nw,1.0,1.0,675,23.25,Coon Rapids,MN,45.1748,-93.3109,RentLingo,0
One BR W Polk St,1.0,1.0,660,23.25,Phoenix,AZ,33.5178,-112.0848,RentLingo,0
One BR White Ave,1.0,1.0,650,23.25,Baltimore,MD,39.3191,-76.6126,RentLingo,1
One BR Stoneway Drive Nw 120,1.0,1.0,650,23.25,Salem,OR,44.9545,-123.0072,RentLingo,0
One BR Se 3rd Street,1.0,1.0,650,23.25,Chiefland,FL,29.4832,-82.8641,RentLingo,0
One BR Pineway St,1.0,1.0,650,23.25,San Antonio,TX,29.4624,-98.5253,RentLingo,0
One BR Hickory Hollow Terrace,1.0,1.0,650,23.25,Antioch,TN,36.0402,-86.6385,RentLingo,1
One BR Colony Dr,1.0,1.0,645,23.25,Surfside Beach,SC,33.6285,-78.9873,RentLingo,1
One BR Deshler Court,1.0,1.0,645,23.25,Charlotte,NC,35.2016,-80.8124,RentLingo,1
One BR Windemere West,1.0,1.0,625,23.25,Venice,FL,27.0717,-82.3833,RentLingo,1
One BR E Villa Rita Dr.,1.0,1.0,610,23.25,Phoenix,AZ,33.5178,-112.0848,RentLingo,0
One BR Bishop Road,1.0,1.0,600,23.25,Spring Hill,FL,28.473,-82.5474,RentLingo,1
One BR E Estes Lane,1.0,1.0,600,23.25,Tucson,AZ,32.2264,-110.9438,RentLingo,1
One BR Brookhurst,1.0,1.0,600,23.25,Dunwoody,GA,33.9369,-84.306,RentLingo,1
One BR Jose Avenue,1.0,1.0,600,23.25,Santa Cruz,CA,36.9873,-122.016,RentLingo,0
"One BR S West Shore Blvd, Apartment B",1.0,1.0,600,23.25,Tampa,FL,28.0076,-82.4792,RentLingo,0
One BR 101 Bridge St,1.0,1.0,600,23.25,Houghton,MI,47.1165,-88.5631,RentLingo,0
One BR Mallard Grove Dr,1.0,1.0,600,23.25,Raleigh,NC,35.823,-78.6438,RentLingo,0
One BR Henderson Road,1.0,1.0,595,23.25,New Canton,VA,37.6465,-78.2899,RentLingo,0
One BR Union Street,1.0,1.0,580,23.25,Vero Beach,FL,27.6361,-80.4261,RentLingo,1
One BR Norton Ave,1.0,1.0,575,23.25,Coatesville,PA,39.9849,-75.8127,RentLingo,0
One BR Goolagong Ct,1.0,1.0,575,23.25,Winter Springs,FL,28.681,-81.2808,RentLingo,0
One BR Linden Church Rd.,1.0,1.0,550,23.25,Clarksville,MD,39.2019,-76.951,RentLingo,0
One BR Foote Lane,1.0,1.0,550,23.25,Springfield,VA,38.7701,-77.2263,RentLingo,1
One BR Lyndon Drive,1.0,1.0,500,23.25,Little River,SC,33.8829,-78.6369,RentLingo,1
One BR Sea Mist Lane,1.0,1.0,500,23.25,Bacliff,TX,29.5056,-94.9889,RentLingo,1
One BR W. Little Ranch Rd,1.0,1.0,500,23.25,Paulden,AZ,34.8856,-112.4675,RentLingo,0
Studio apartment 101 Compton Drive,1.0,1.0,499,23.25,Frankfort,KY,38.2006,-84.9469,RentLingo,0
"One BR North 29th St., #54",1.0,1.0,495,23.25,Phoenix,AZ,33.5178,-112.0848,RentLingo,1
One BR Ridge Road,1.0,1.0,200,23.25,Mount Airy,MD,39.3903,-77.1487,RentLingo,0
Studio apartment 4528 44th Ave SW,1.0,0.0,1325,23.529,Seattle,WA,47.616,-122.3275,RentLingo,0
Studio apartment 111-117 Lake Street S,1.0,0.0,1400,23.715,Kirkland,WA,47.7046,-122.1989,RentLingo,0
Studio apartment 1025 Post Street,1.0,0.0,1995,23.994,San Francisco,CA,37.7599,-122.4379,RentLingo,0
Studio apartment 404 Chamberlain Ave,1.0,1.0,710,24.645,Madison,WI,43.0724,-89.4003,RentLingo,0
"Studio apartment 3220 Connecticut Ave, Nw",1.0,1.0,1659,25.296,Washington,DC,38.9118,-77.0132,RentLingo,1
One BR Juneau Street,1.0,1.0,1600,25.296,San Leandro,CA,37.7078,-122.1435,RentLingo,0
Studio apartment 916 N College Avenue,1.0,1.0,850,25.389,Bloomington,IN,39.1471,-86.5136,RentLingo,1
Studio apartment 621 Begonia Avenue,1.0,0.0,1900,25.575,Corona Del Mar,CA,33.6019,-117.8637,RentLingo,0
One BR Texas Ave,1.0,1.0,1505,25.575,Los Angeles,CA,34.0372,-118.2972,RentLingo,0
One BR E. Elgin St.,1.0,1.0,900,25.575,Gilbert,AZ,33.3423,-111.7755,RentLingo,1
Studio apartment 661 W. Sheridan Rd.,1.0,0.0,892,25.575,Chicago,IL,41.8625,-87.6825,RentLingo,0
Studio - The Majestic is located in the heart of Clifton.,1.0,1.0,705,25.575,Cincinnati,OH,39.1263,-84.5172,RentDigs.com,0
One BR Potomac Passage 602,1.0,1.0,1240,26.04,Oxon Hill,MD,38.8077,-76.9886,RentLingo,1
Studio apartment 337 E. 4th Ave.,1.0,1.0,870,26.505,Anchorage,AK,61.1723,-149.8414,RentLingo,0
Studio apartment 4875 N. Magnolia Ave.,1.0,0.0,1095,26.598,Chicago,IL,41.8625,-87.6825,RentLingo,0
Studio apartment 1307 N. Northgate Way,1.0,0.0,1350,26.784,Seattle,WA,47.616,-122.3275,RentLingo,0
"One BR - Oakdale Apartments For Rent This serene, shaded.",1.0,1.0,865,26.784,Oakdale,PA,40.3911,-80.1989,RentDigs.com,0
Studio apartment 8525 North Armenia,1.0,1.0,690,26.784,Tampa,FL,28.0076,-82.4792,RentLingo,1
Studio apartment 610 NW 17th Ave,1.0,0.0,1099,26.97,Portland,OR,45.5091,-122.6449,RentLingo,0
Studio apartment 700 10th Ave SE,1.0,1.0,700,26.97,Minneapolis,MN,44.9855,-93.3023,RentLingo,1
Studio apartment 7 S. Linn Street,1.0,0.0,850,27.528,Iowa City,IA,41.6595,-91.535,RentLingo,0
Studio apartment 249-251 Emerson St,1.0,0.0,2200,27.9,Palo Alto,CA,37.4356,-122.134,RentLingo,0
"One BR, One BA, safe neighborhood",1.0,1.0,2112,27.9,Ramsey,NJ,41.0591,-74.1452,RentDigs.com,0
"Great Central Location One BR, One BA",1.0,1.0,1868,27.9,Monrovia,CA,34.1428,-117.9996,RentDigs.com,0
Farmington - 1bd/One BA 300sqft Apartment for rent. Parking Available!,1.0,1.0,1785,27.9,Farmington,CT,41.7277,-72.8374,RentDigs.com,0
"Average Rent $1,575 a month - That's a STEAL!",1.0,1.0,1575,27.9,Los Angeles,CA,34.0628,-118.2754,RentDigs.com,1
Lease Spacious 1+1. Approx 300 sf of Living Space. Parking Available!,1.0,1.0,1534,27.9,Gaithersburg,MD,39.1775,-77.1944,RentDigs.com,0
Manchester - 1bd/One BA 300sqft Apartment for rent,1.0,1.0,1470,27.9,Manchester,CT,41.7773,-72.5249,RentDigs.com,0
"Lovely Glen Burnie, One BR, One BA",1.0,1.0,1470,27.9,Glen Burnie,MD,39.1627,-76.6354,RentDigs.com,0
Columbia - superb Apartment nearby fine dining. Pet OK!,1.0,1.0,1470,27.9,Columbia,MD,39.1723,-76.8514,RentDigs.com,0
Studio apartment 2612 W 2nd St,1.0,2.0,1425,27.9,Brooklyn,NY,40.6496,-73.9596,RentLingo,0
Linthicum Heights Value!,1.0,1.0,1386,27.9,Linthicum Heights,MD,39.2081,-76.661,RentDigs.com,0
Studio apartment 420 Vine St,1.0,0.0,1195,27.9,Seattle,WA,47.616,-122.3275,RentLingo,0
Studio apartment 5860 N. Kenmore Avenue,1.0,1.0,995,27.9,Chicago,IL,41.9891,-87.6572,RentLingo,0
LB Downtown Cross Streets 10th and Pine.,1.0,0.0,975,27.9,Long Beach,CA,33.7815,-118.1934,RentDigs.com,0
Studio apartment 5326 S. Cornell Ave.,1.0,1.0,911,27.9,Chicago,IL,41.8625,-87.6825,RentLingo,0
Studio apartment 2907 West Ave,1.0,0.0,900,27.9,Austin,TX,30.3054,-97.7497,RentLingo,0
One BR Haymaker Lane,1.0,1.0,800,27.9,Fort Collins,CO,40.5649,-105.0824,RentLingo,1
One BR Bobbie Ln,1.0,1.0,800,27.9,Decatur,GA,33.7416,-84.2614,RentLingo,0
One BR S. Teller Street,1.0,1.0,795,27.9,Denver,CO,39.736,-104.9819,RentLingo,0
1 BR in Sarasota FL 34237,1.0,1.0,795,27.9,Sarasota,FL,27.3181,-82.4987,ListedBuy,0
Studio apartment 928 N 15th St,1.0,1.0,775,27.9,Milwaukee,WI,43.0531,-87.9659,RentLingo,0
Studio apartment 5748 S. Blackstone Ave,1.0,0.0,760,27.9,Chicago,IL,41.8625,-87.6825,RentLingo,0
One BR Hanging Moss Loo,1.0,1.0,750,27.9,Wesley Chapel,FL,28.23,-82.3055,RentLingo,1
One BR Summit Ave,1.0,1.0,725,27.9,Tiverton,RI,41.6151,-71.1705,RentLingo,0
One BR Oak Leaf Dr,1.0,1.0,700,27.9,Stockbridge,GA,33.5571,-84.2167,RentLingo,0
Studio apartment 855 Chambers Rd,1.0,1.0,650,27.9,Columbus,OH,39.9974,-82.9829,RentLingo,0
One BR 125 N 1st Street,1.0,1.0,595,27.9,Grand Junction,CO,39.0744,-108.5228,RentLingo,0
One BR 520 North Grant Street,1.0,1.0,590,27.9,Bloomington,IN,39.1471,-86.5136,RentLingo,1
"Studio apartment 303,315 E. 8th & 417 N. Grant",1.0,2.0,590,27.9,Bloomington,IN,39.1471,-86.5136,RentLingo,1
Studio apartment 507 And 508 South Fess Ave,1.0,2.0,585,27.9,Bloomington,IN,39.1471,-86.5136,RentLingo,1
Studio apartment 1010 S First St,1.0,2.0,580,27.9,Champaign,IL,40.1145,-88.2723,RentLingo,0
One BR Harkers Island Court,1.0,1.0,400,27.9,Raleigh,NC,35.823,-78.6438,RentLingo,0
Studio apartment 695 W 3rd Street,1.0,1.0,1195,27.993,Reno,NV,39.5197,-119.8342,RentLingo,0
Studio apartment 160 Sinclair Street,1.0,1.0,1094,28.458,Reno,NV,39.5197,-119.8342,RentLingo,1
Studio apartment 221 W. Wood Street,1.0,0.0,725,28.644,West Lafayette,IN,40.4969,-86.9659,RentLingo,0
Studio apartment 7228 N Burlington Ave,1.0,0.0,1099,28.737,Portland,OR,45.5091,-122.6449,RentLingo,0
Studio apartment 18 East Meadow Lane,1.0,2.0,1222,28.83,Lowell,MA,42.6398,-71.3184,RentLingo,1
Studio apartment 709 Geary Street,1.0,0.0,2195,29.108999999999998,San Francisco,CA,37.7599,-122.4379,RentLingo,0
Studio apartment 1308 Central Avenue,1.0,1.0,760,29.108999999999998,Indianapolis,IN,39.7953,-86.1387,RentLingo,0
Studio apartment 425 Park Blvd,1.0,2.0,650,29.201999999999998,Ogden,UT,41.2321,-111.9813,RentLingo,1
Studio apartment 1547 Clay Street,1.0,0.0,2695,29.294999999999998,San Francisco,CA,37.7599,-122.4379,RentLingo,0
Studio apartment 915 W 27th Avenue,1.0,2.0,730,29.294999999999998,Anchorage,AK,61.1723,-149.8414,RentLingo,0
Studio apartment 1232 Man O War Place #2,1.0,0.0,659,29.294999999999998,Lexington,KY,38.0172,-84.4931,RentLingo,0
One BR 707 South St,1.0,1.0,775,29.480999999999998,Lafayette,IN,40.3613,-86.9005,RentLingo,0
Studio apartment 5500 Friendship Blvd #2206N,1.0,0.0,1350,29.573999999999998,Chevy Chase,MD,38.9799,-77.0798,RentLingo,0
Studio apartment 6807 N. Sheridan Rd,1.0,1.0,1100,29.666999999999998,Chicago,IL,41.8625,-87.6825,RentLingo,1
